,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Monday,30.008333333333333,17.283333333333335,6.766666666666667,8.541666666666666,18.808333333333334,31.65,177.26666666666668,360.2916666666667,512.9916666666667,498.075,554.0666666666667,383.725,525.453781512605,531.9495798319327,444.79831932773106,340.7310924369748,555.7563025210084,489.3135593220339,665.6271186440678,628.8135593220339,362.02542372881356,351.1186440677966,178.77966101694915,81.11016949152543
Tuesday,28.346666666666668,25.54,10.686666666666667,5.706666666666667,16.966666666666665,85.33333333333333,238.08,383.17333333333335,434.0733333333333,371.47333333333336,521.3466666666667,416.85333333333335,657.0933333333334,553.6266666666667,432.11333333333334,353.6,525.7466666666667,615.64,637.0533333333333,579.46,364.58,347.76,289.37333333333333,135.92
Wednesday,31.221476510067113,14.906040268456376,14.476510067114093,2.228187919463087,14.335570469798657,36.785234899328856,182.08053691275168,268.02013422818794,441.09395973154363,420.30872483221475,372.10738255033556,440.751677852349,504.7959183673469,472.7278911564626,545.374149659864,389.98639455782313,464.2040816326531,739.6326530612245,744.1224489795918,603.2857142857143,332.3061224489796,211.95890410958904,202.68275862068967,130.71724137931034
Thursday,31.282758620689656,16.26206896551724,11.579310344827586,4.7379310344827585,8.131944444444445,54.22222222222222,256.875,334.125,421.65277777777777,426.2708333333333,517.1538461538462,465.5390070921986,561.5539568345324,456.3623188405797,563.6159420289855,402.3181818181818,564.1666666666666,552.4206349206349,534.1984126984127,583.8650793650794,361.7936507936508,369.42857142857144,268.1984126984127,99.46825396825396
Friday,44.27777777777778,19.00793650793651,16.27777777777778,10.801587301587302,14.436507936507937,61.23015873015873,239.512,412.096,448.728,415.416,343.112,442.888,451.056,494.176,541.28,345.912,495.008064516129,396.06451612903226,604.8467741935484,623.016129032258,400.5806451612903,275.0241935483871,244.51612903225808,163.78861788617886
Saturday,55.203252032520325,18.87704918032787,13.573770491803279,9.475409836065573,10.032786885245901,10.368852459016393,62.01639344262295,186.45081967213116,379.91803278688525,507.45081967213116,495.495867768595,638.0661157024794,672.0413223140496,779.9256198347107,698.3223140495868,530.0826446280992,506.702479338843,465.3388429752066,490.6198347107438,580.1818181818181,398.6280991735537,342.0165289256198,307.8099173553719,127.39669421487604
Sunday,82.59504132231405,52.66942148760331,49.63636363636363,4.785123966942149,5.652892561983471,16.68595041322314,62.66115702479339,181.099173553719,351.1735537190083,413.79338842975204,582.9421487603306,422.1404958677686,452.8512396694215,498.0330578512397,578.1735537190083,499.02479338842977,363.55833333333334,538.975,480.7083333333333,481.05833333333334,257.425,269.06666666666666,165.76666666666668,110.65833333333333
