TotalSteps,Calories,ActivityDate,DayOfWeek,ActivityTier,SedentaryMinutes
9217,2940,2016-05-08,Sunday,Fairly Active (7.5k-10k),1183
9877,2947,2016-05-09,Monday,Fairly Active (7.5k-10k),1260
8240,2846,2016-05-10,Tuesday,Fairly Active (7.5k-10k),1226
8701,2804,2016-05-11,Wednesday,Fairly Active (7.5k-10k),1106
8360,3101,2016-04-29,Friday,Fairly Active (7.5k-10k),634
9733,2698,2016-04-29,Friday,Fairly Active (7.5k-10k),1207
8064,1849,2016-05-12,Thursday,Fairly Active (7.5k-10k),770
13162,1985,2016-04-12,Tuesday,Very Active (10k+),728
10735,1797,2016-04-13,Wednesday,Very Active (10k+),776
10460,1776,2016-04-14,Thursday,Very Active (10k+),1218
12669,1863,2016-04-16,Saturday,Very Active (10k+),773
13019,1921,2016-04-18,Monday,Very Active (10k+),1149
15506,2035,2016-04-19,Tuesday,Very Active (10k+),775
10544,1786,2016-04-20,Wednesday,Very Active (10k+),818
12764,1827,2016-04-22,Friday,Very Active (10k+),1217
14371,1949,2016-04-23,Saturday,Very Active (10k+),732
10039,1788,2016-04-24,Sunday,Very Active (10k+),709
15355,2013,2016-04-25,Monday,Very Active (10k+),814
13755,1970,2016-04-26,Tuesday,Very Active (10k+),833
18134,2159,2016-04-27,Wednesday,Very Active (10k+),1108
13154,1898,2016-04-28,Thursday,Very Active (10k+),782
11181,1837,2016-04-29,Friday,Very Active (10k+),815
14673,1947,2016-04-30,Saturday,Very Active (10k+),712
10602,1820,2016-05-01,Sunday,Very Active (10k+),730
14727,2004,2016-05-02,Monday,Very Active (10k+),798
15103,1990,2016-05-03,Tuesday,Very Active (10k+),816
11100,1819,2016-05-04,Wednesday,Very Active (10k+),1179
14070,1959,2016-05-05,Thursday,Very Active (10k+),857
12159,1896,2016-05-06,Friday,Very Active (10k+),754
11992,1821,2016-05-07,Saturday,Very Active (10k+),833
10060,1740,2016-05-08,Sunday,Very Active (10k+),574
12022,1819,2016-05-09,Monday,Very Active (10k+),835
12207,1859,2016-05-10,Tuesday,Very Active (10k+),746
12770,1783,2016-05-11,Wednesday,Very Active (10k+),669
10536,1604,2016-04-18,Monday,Very Active (10k+),1214
36019,2690,2016-05-01,Sunday,Very Active (10k+),1020
10694,3199,2016-04-12,Tuesday,Very Active (10k+),1131
11037,3226,2016-04-14,Thursday,Very Active (10k+),1125
15300,3493,2016-04-16,Saturday,Very Active (10k+),1135
11256,3300,2016-04-19,Tuesday,Very Active (10k+),1099
18213,3846,2016-04-30,Saturday,Very Active (10k+),816
12850,3324,2016-05-03,Tuesday,Very Active (10k+),1115
13372,3404,2016-05-07,Saturday,Very Active (10k+),1139
11875,2390,2016-04-12,Tuesday,Very Active (10k+),1157
12024,2601,2016-04-13,Wednesday,Very Active (10k+),1100
10690,2312,2016-04-14,Thursday,Very Active (10k+),1148
11034,2525,2016-04-15,Friday,Very Active (10k+),1122
10100,2177,2016-04-16,Saturday,Very Active (10k+),1237
15112,2782,2016-04-17,Sunday,Very Active (10k+),1052
14131,2770,2016-04-18,Monday,Very Active (10k+),1078
11548,2489,2016-04-19,Tuesday,Very Active (10k+),1152
15112,2897,2016-04-20,Wednesday,Very Active (10k+),1053
12453,3158,2016-04-21,Thursday,Very Active (10k+),1028
12954,2638,2016-04-22,Friday,Very Active (10k+),1105
13481,2529,2016-04-24,Sunday,Very Active (10k+),1161
11369,2470,2016-04-25,Monday,Very Active (10k+),1171
10119,2793,2016-04-26,Tuesday,Very Active (10k+),1086
10159,2463,2016-04-27,Wednesday,Very Active (10k+),1119
10140,2296,2016-04-28,Thursday,Very Active (10k+),1123
10245,2611,2016-04-29,Friday,Very Active (10k+),1098
18387,2732,2016-04-30,Saturday,Very Active (10k+),1043
10538,2380,2016-05-01,Sunday,Very Active (10k+),1142
10379,2473,2016-05-02,Monday,Very Active (10k+),1119
12183,2752,2016-05-03,Tuesday,Very Active (10k+),1104
11768,2649,2016-05-04,Wednesday,Very Active (10k+),1105
11895,2609,2016-05-05,Thursday,Very Active (10k+),1112
10227,2498,2016-05-06,Friday,Very Active (10k+),1104
13379,2709,2016-05-09,Monday,Very Active (10k+),1061
12798,2797,2016-05-10,Tuesday,Very Active (10k+),1084
13272,2544,2016-05-11,Wednesday,Very Active (10k+),1133
12357,1916,2016-04-23,Saturday,Very Active (10k+),458
12167,1926,2016-05-05,Thursday,Very Active (10k+),479
10685,1869,2016-05-09,Monday,Very Active (10k+),543
10725,2124,2016-04-12,Tuesday,Very Active (10k+),1112
10113,2344,2016-04-12,Tuesday,Very Active (10k+),964
10352,2038,2016-04-13,Wednesday,Very Active (10k+),676
10129,2010,2016-04-14,Thursday,Very Active (10k+),705
10465,2133,2016-04-15,Friday,Very Active (10k+),720
22244,2670,2016-04-16,Saturday,Very Active (10k+),968
10999,2198,2016-04-20,Wednesday,Very Active (10k+),1011
10080,2048,2016-04-21,Thursday,Very Active (10k+),761
16901,2629,2016-04-23,Saturday,Very Active (10k+),591
11423,2194,2016-04-27,Wednesday,Very Active (10k+),623
10035,1495,2016-04-13,Wednesday,Very Active (10k+),754
13459,1625,2016-04-16,Saturday,Very Active (10k+),663
10415,1529,2016-04-17,Sunday,Very Active (10k+),600
11663,1584,2016-04-18,Monday,Very Active (10k+),605
12414,1638,2016-04-19,Tuesday,Very Active (10k+),738
11658,1554,2016-04-20,Wednesday,Very Active (10k+),845
12058,1638,2016-04-23,Saturday,Very Active (10k+),724
14112,1655,2016-04-24,Sunday,Very Active (10k+),660
11177,1570,2016-04-25,Monday,Very Active (10k+),781
11388,1551,2016-04-26,Tuesday,Very Active (10k+),797
10645,1545,2016-04-29,Friday,Very Active (10k+),744
13238,1650,2016-04-30,Saturday,Very Active (10k+),687
10414,1501,2016-05-01,Sunday,Very Active (10k+),691
16520,1760,2016-05-02,Monday,Very Active (10k+),713
14335,1710,2016-05-03,Tuesday,Very Active (10k+),594
13559,1628,2016-05-04,Wednesday,Very Active (10k+),852
12312,1618,2016-05-05,Thursday,Very Active (10k+),680
11677,1590,2016-05-06,Friday,Very Active (10k+),676
11550,1574,2016-05-07,Saturday,Very Active (10k+),703
13585,1633,2016-05-08,Sunday,Very Active (10k+),688
14687,1667,2016-05-09,Monday,Very Active (10k+),1159
13072,1630,2016-05-10,Tuesday,Very Active (10k+),676
10252,3879,2016-05-04,Wednesday,Very Active (10k+),531
11728,3429,2016-05-05,Thursday,Very Active (10k+),916
10210,2302,2016-04-14,Thursday,Very Active (10k+),589
10780,2324,2016-04-27,Wednesday,Very Active (10k+),680
10817,2367,2016-04-28,Thursday,Very Active (10k+),552
10429,2282,2016-05-04,Wednesday,Very Active (10k+),1106
13658,2530,2016-05-05,Thursday,Very Active (10k+),957
10378,2345,2016-05-09,Monday,Very Active (10k+),490
10122,2955,2016-04-12,Tuesday,Very Active (10k+),1440
10993,3092,2016-04-13,Wednesday,Very Active (10k+),1275
11009,3274,2016-04-18,Monday,Very Active (10k+),1017
10181,3015,2016-04-19,Tuesday,Very Active (10k+),704
10553,3083,2016-04-20,Wednesday,Very Active (10k+),696
10055,3069,2016-04-21,Thursday,Very Active (10k+),853
12139,3544,2016-04-22,Friday,Very Active (10k+),945
13236,3306,2016-04-23,Saturday,Very Active (10k+),749
10243,2885,2016-04-24,Sunday,Very Active (10k+),584
12961,3288,2016-04-25,Monday,Very Active (10k+),1054
11193,3074,2016-04-27,Wednesday,Very Active (10k+),684
10074,2969,2016-04-28,Thursday,Very Active (10k+),878
12533,3283,2016-04-30,Saturday,Very Active (10k+),537
10255,2926,2016-05-01,Sunday,Very Active (10k+),579
10096,3147,2016-05-02,Monday,Very Active (10k+),935
12727,3290,2016-05-03,Tuesday,Very Active (10k+),984
12375,3162,2016-05-04,Wednesday,Very Active (10k+),632
13175,3425,2016-05-06,Friday,Very Active (10k+),1100
22770,4022,2016-05-07,Saturday,Very Active (10k+),508
17298,3934,2016-05-08,Sunday,Very Active (10k+),576
10218,3013,2016-05-09,Monday,Very Active (10k+),1020
10299,3061,2016-05-10,Tuesday,Very Active (10k+),648
10201,2954,2016-05-11,Wednesday,Very Active (10k+),858
13743,2486,2016-04-21,Thursday,Very Active (10k+),844
10319,2105,2016-04-30,Saturday,Very Active (10k+),1111
10611,2262,2016-05-05,Thursday,Very Active (10k+),1048
11451,2223,2016-05-09,Monday,Very Active (10k+),1065
11140,3328,2016-04-16,Saturday,Very Active (10k+),556
12692,3394,2016-04-17,Sunday,Very Active (10k+),437
15126,3691,2016-04-23,Saturday,Very Active (10k+),469
15050,3538,2016-04-24,Sunday,Very Active (10k+),542
10144,3115,2016-04-30,Saturday,Very Active (10k+),728
14370,3683,2016-05-07,Saturday,Very Active (10k+),577
12857,3287,2016-05-08,Sunday,Very Active (10k+),1019
10613,3172,2016-05-10,Tuesday,Very Active (10k+),701
11596,2026,2016-04-12,Tuesday,Very Active (10k+),767
17022,2324,2016-04-14,Thursday,Very Active (10k+),693
16556,2254,2016-04-15,Friday,Very Active (10k+),689
15482,2284,2016-04-19,Tuesday,Very Active (10k+),756
12346,2066,2016-04-21,Thursday,Very Active (10k+),801
11682,2105,2016-04-22,Friday,Very Active (10k+),781
10946,2033,2016-04-25,Monday,Very Active (10k+),732
11886,2093,2016-04-26,Tuesday,Very Active (10k+),750
10538,1922,2016-04-27,Wednesday,Very Active (10k+),745
11393,1999,2016-04-28,Thursday,Very Active (10k+),727
12764,2169,2016-04-29,Friday,Very Active (10k+),709
12848,2116,2016-05-03,Tuesday,Very Active (10k+),812
14331,2156,2016-05-05,Thursday,Very Active (10k+),692
11611,2272,2016-05-09,Monday,Very Active (10k+),667
16358,2335,2016-05-10,Tuesday,Very Active (10k+),707
12087,4005,2016-04-15,Friday,Very Active (10k+),695
14269,4274,2016-04-16,Saturday,Very Active (10k+),472
12231,4552,2016-04-17,Sunday,Very Active (10k+),525
12574,3501,2016-04-19,Tuesday,Very Active (10k+),733
10830,4018,2016-04-21,Thursday,Very Active (10k+),670
15764,4392,2016-04-24,Sunday,Very Active (10k+),425
12363,4501,2016-04-30,Saturday,Very Active (10k+),621
13368,4546,2016-05-01,Sunday,Very Active (10k+),499
11045,3795,2016-05-03,Tuesday,Very Active (10k+),580
14019,2865,2016-04-15,Friday,Very Active (10k+),921
14450,2828,2016-04-16,Saturday,Very Active (10k+),502
11135,2606,2016-04-19,Tuesday,Very Active (10k+),425
10449,2536,2016-04-20,Wednesday,Very Active (10k+),587
19542,4900,2016-04-21,Thursday,Very Active (10k+),579
11495,2651,2016-04-23,Saturday,Very Active (10k+),468
10771,3727,2016-04-20,Wednesday,Very Active (10k+),1079
10199,1994,2016-04-12,Tuesday,Very Active (10k+),796
13217,2173,2016-04-16,Saturday,Very Active (10k+),741
10145,2027,2016-04-17,Sunday,Very Active (10k+),634
11404,2039,2016-04-18,Monday,Very Active (10k+),689
10742,2046,2016-04-19,Tuesday,Very Active (10k+),659
13928,2174,2016-04-20,Wednesday,Very Active (10k+),639
11835,2179,2016-04-21,Thursday,Very Active (10k+),708
10725,2086,2016-04-22,Friday,Very Active (10k+),659
20031,2571,2016-04-23,Saturday,Very Active (10k+),484
13239,2194,2016-04-25,Monday,Very Active (10k+),637
10433,2012,2016-04-26,Tuesday,Very Active (10k+),680
10320,2034,2016-04-27,Wednesday,Very Active (10k+),697
12627,2182,2016-04-28,Thursday,Very Active (10k+),621
10762,2254,2016-04-29,Friday,Very Active (10k+),645
10081,2002,2016-04-30,Saturday,Very Active (10k+),731
12912,2162,2016-05-02,Monday,Very Active (10k+),655
12109,2072,2016-05-03,Tuesday,Very Active (10k+),654
10147,2086,2016-05-04,Wednesday,Very Active (10k+),683
10524,2066,2016-05-05,Thursday,Very Active (10k+),591
12342,2105,2016-05-09,Monday,Very Active (10k+),607
15448,2361,2016-05-10,Tuesday,Very Active (10k+),626
14172,2937,2016-04-12,Tuesday,Very Active (10k+),1024
12862,2742,2016-04-13,Wednesday,Very Active (10k+),1101
11179,2668,2016-04-14,Thursday,Very Active (10k+),1096
14816,2832,2016-04-18,Monday,Very Active (10k+),1077
14194,2812,2016-04-19,Tuesday,Very Active (10k+),1066
15566,3096,2016-04-20,Wednesday,Very Active (10k+),1000
13744,2763,2016-04-21,Thursday,Very Active (10k+),1049
15299,2889,2016-04-22,Friday,Very Active (10k+),1065
11085,2667,2016-04-24,Sunday,Very Active (10k+),1021
18229,3055,2016-04-25,Monday,Very Active (10k+),986
15090,2939,2016-04-26,Tuesday,Very Active (10k+),978
13541,2830,2016-04-27,Wednesday,Very Active (10k+),1041
15128,2836,2016-04-28,Thursday,Very Active (10k+),1007
20067,3180,2016-04-29,Friday,Very Active (10k+),961
13041,2642,2016-05-02,Monday,Very Active (10k+),1112
14510,2976,2016-05-03,Tuesday,Very Active (10k+),1021
15010,2933,2016-05-05,Thursday,Very Active (10k+),1047
11459,2553,2016-05-06,Friday,Very Active (10k+),1136
11317,2772,2016-04-12,Tuesday,Very Active (10k+),745
10688,2944,2016-04-19,Tuesday,Very Active (10k+),671
14365,2997,2016-04-20,Wednesday,Very Active (10k+),797
10091,2752,2016-04-25,Monday,Very Active (10k+),706
10387,2781,2016-04-26,Tuesday,Very Active (10k+),726
11107,2693,2016-04-27,Wednesday,Very Active (10k+),829
11584,2862,2016-04-28,Thursday,Very Active (10k+),810
14560,2995,2016-04-30,Saturday,Very Active (10k+),584
12390,2730,2016-05-01,Sunday,Very Active (10k+),685
10052,2754,2016-05-02,Monday,Very Active (10k+),737
10288,2754,2016-05-03,Tuesday,Very Active (10k+),761
10988,2655,2016-05-04,Wednesday,Very Active (10k+),843
12461,2924,2016-05-06,Friday,Very Active (10k+),834
12827,2739,2016-05-07,Saturday,Very Active (10k+),621
10677,2534,2016-05-08,Sunday,Very Active (10k+),695
13566,2960,2016-05-09,Monday,Very Active (10k+),743
14433,2800,2016-05-10,Tuesday,Very Active (10k+),1182
18060,3186,2016-04-12,Tuesday,Very Active (10k+),1193
16433,3140,2016-04-13,Wednesday,Very Active (10k+),1177
20159,3411,2016-04-14,Thursday,Very Active (10k+),1123
20669,3410,2016-04-15,Friday,Very Active (10k+),1142
14549,2867,2016-04-16,Saturday,Very Active (10k+),1255
18827,3213,2016-04-17,Sunday,Very Active (10k+),1113
17076,3133,2016-04-18,Monday,Very Active (10k+),1137
15929,3114,2016-04-19,Tuesday,Very Active (10k+),1152
15108,3043,2016-04-20,Wednesday,Very Active (10k+),695
16057,3103,2016-04-21,Thursday,Very Active (10k+),1164
10520,2655,2016-04-22,Friday,Very Active (10k+),1260
22359,3554,2016-04-23,Saturday,Very Active (10k+),741
22988,3577,2016-04-24,Sunday,Very Active (10k+),1096
20500,3403,2016-04-25,Monday,Very Active (10k+),1104
12685,2846,2016-04-26,Tuesday,Very Active (10k+),1182
12422,2852,2016-04-27,Wednesday,Very Active (10k+),1187
15447,3062,2016-04-28,Thursday,Very Active (10k+),1188
12315,2794,2016-04-29,Friday,Very Active (10k+),1215
15484,3023,2016-05-03,Tuesday,Very Active (10k+),1166
14581,2918,2016-05-04,Wednesday,Very Active (10k+),1220
14990,2950,2016-05-05,Thursday,Very Active (10k+),1208
13953,2859,2016-05-06,Friday,Very Active (10k+),1245
19769,3331,2016-05-07,Saturday,Very Active (10k+),1076
22026,3589,2016-05-08,Sunday,Very Active (10k+),1073
12465,2765,2016-05-09,Monday,Very Active (10k+),1214
14810,2926,2016-05-10,Tuesday,Very Active (10k+),1219
12209,2809,2016-05-11,Wednesday,Very Active (10k+),1189
10204,2112,2016-04-17,Sunday,Very Active (10k+),1237
11268,2218,2016-04-21,Thursday,Very Active (10k+),1199
10232,2008,2016-04-27,Wednesday,Very Active (10k+),1286
12386,4079,2016-04-13,Wednesday,Very Active (10k+),680
13318,4163,2016-04-14,Thursday,Very Active (10k+),699
14461,3666,2016-04-15,Friday,Very Active (10k+),729
11207,3363,2016-04-16,Saturday,Very Active (10k+),563
13630,4157,2016-04-18,Monday,Very Active (10k+),720
13070,4092,2016-04-19,Tuesday,Very Active (10k+),737
15148,4236,2016-04-21,Thursday,Very Active (10k+),677
12200,4044,2016-04-22,Friday,Very Active (10k+),769
12405,4005,2016-04-25,Monday,Very Active (10k+),692
16208,3763,2016-04-26,Tuesday,Very Active (10k+),593
11419,3369,2016-05-01,Sunday,Very Active (10k+),669
10499,3093,2016-04-26,Tuesday,Very Active (10k+),1134
12474,3142,2016-04-27,Wednesday,Very Active (10k+),1229
15168,3513,2016-04-29,Friday,Very Active (10k+),1069
10085,3164,2016-04-30,Saturday,Very Active (10k+),1093
12015,3212,2016-05-03,Tuesday,Very Active (10k+),1440
12427,3266,2016-05-05,Thursday,Very Active (10k+),1370
23186,3921,2016-04-12,Tuesday,Very Active (10k+),1036
15337,3566,2016-04-13,Wednesday,Very Active (10k+),1098
21129,3793,2016-04-14,Thursday,Very Active (10k+),1061
13422,3934,2016-04-15,Friday,Very Active (10k+),1052
29326,4547,2016-04-16,Saturday,Very Active (10k+),888
15118,3545,2016-04-17,Sunday,Very Active (10k+),1060
11423,2761,2016-04-18,Monday,Very Active (10k+),1215
18785,3676,2016-04-19,Tuesday,Very Active (10k+),1131
19948,3679,2016-04-20,Wednesday,Very Active (10k+),1123
19377,3659,2016-04-21,Thursday,Very Active (10k+),1119
18258,3427,2016-04-22,Friday,Very Active (10k+),1141
11200,3891,2016-04-23,Saturday,Very Active (10k+),1032
16674,3455,2016-04-24,Sunday,Very Active (10k+),1148
12986,3802,2016-04-25,Monday,Very Active (10k+),1101
11101,2860,2016-04-26,Tuesday,Very Active (10k+),1157
23629,3808,2016-04-27,Wednesday,Very Active (10k+),1104
14890,3060,2016-04-28,Thursday,Very Active (10k+),1143
27745,4398,2016-04-30,Saturday,Very Active (10k+),1089
10930,2786,2016-05-01,Sunday,Very Active (10k+),1226
10818,2817,2016-05-03,Tuesday,Very Active (10k+),1189
18193,3477,2016-05-04,Wednesday,Very Active (10k+),1154
14055,3052,2016-05-05,Thursday,Very Active (10k+),1170
21727,4015,2016-05-06,Friday,Very Active (10k+),1095
12332,4142,2016-05-07,Saturday,Very Active (10k+),1036
10686,2847,2016-05-08,Sunday,Very Active (10k+),1174
20226,3710,2016-05-09,Monday,Very Active (10k+),1131
10733,2832,2016-05-10,Tuesday,Very Active (10k+),1187
21420,3832,2016-05-11,Wednesday,Very Active (10k+),1127
